index,f_g_small_i_count,f_g_all_caps_wordcount,f_g_sentence_wo_cap_at_start,f_g_sentence_lower_at_start,f_g_fullstop_wo_whitespace_count,f_g_a_an_error_count,f_g_cont_punct_count,f_i_quotation_count,f_i_emoticons_count,f_i_happy_emoticons_count,f_i_question_count,f_i_exclamation_count,f_o_sentiment_score_neg,f_o_sentiment_score_neu,f_o_sentiment_score_pos,f_o_he_she_ratio,f_o_swear_word_count,f_d_character_count,f_d_word_count,f_d_sentence_count,f_d_punctuation_count,f_d_digit_count,f_d_uppercase_count,f_d_short_word_count,f_d_alphabet_count,f_d_contraction_count,f_d_word_without_vowels_count,f_d_hapax_legomenon_count,f_c_mean_word_length,f_c_mean_sentence_length,f_c_word_length_standard_deviation,f_c_sentence_length_standard_deviation,f_c_mean_word_frequency,f_c_lexical_diversity_coefficient,f_c_syntactic_complexity_coefficient,f_c_herdans_log_type_token_richness,f_p_pos_common_noun_ratio,f_p_pos_proper_noun_ratio,f_p_pos_base_adjective_ratio,f_p_pos_comparative_adjective_ratio,f_p_pos_superlative_adjective_ratio,f_p_pos_base_adverb_ratio,f_p_pos_comparative_adverb_ratio,f_p_pos_superlative_adverb_ratio,f_p_pos_infinitive_verb_ratio,f_p_pos_present_tense_1st_2nd_person_verb_ratio,f_p_pos_present_tense_3rd_person_verb_ratio,f_p_pos_past_tense_verb_ratio,f_p_pos_present_participle_verb_ratio,f_p_pos_past_participle_verb_ratio,f_p_pos_modal_auxiliary_verb_ratio,f_p_pos_pronoun_ratio,f_p_pos_genetive_ratio,f_p_pos_interjection_ratio,f_p_pos_foreign_word_ratio,f_p_pos_numeral_ratio,f_p_pos_parenthesis_ratio
493,0,4,5,1,0,1,0,8,0,1,4,6,0.31943393,0.4881916,0.19237453,1.0,0,3064,720,58,189,0,156,539,27,0,128,197,3.518,3.518,2.155,2.155,2.278,0.274,0.0,0.803,0.118,0.089,0.053,0.0,0.0,0.072,0.001,0.001,0.053,0.017,0.014,0.032,0.01,0.014,0.022,0.126,0.0,0.0,0.0,0.004,0.0
1125,0,40,29,1,0,0,0,29,0,0,6,4,0.3468523,0.5376645,0.11548321,0.875,1,3028,732,77,191,1,242,539,27,2,167,225,3.511,3.511,2.266,2.266,2.085,0.307,0.0,0.821,0.135,0.105,0.031,0.0,0.0,0.042,0.0,0.0,0.026,0.023,0.015,0.072,0.019,0.014,0.005,0.101,0.0,0.004,0.0,0.001,0.0
1404,0,0,12,1,0,0,0,13,0,0,4,0,0.36887473,0.5246349,0.10649036,17.0,0,3089,753,44,144,0,65,573,27,2,106,202,3.363,3.363,2.099,2.099,2.518,0.268,0.0,0.801,0.137,0.016,0.036,0.0,0.001,0.056,0.0,0.0,0.033,0.035,0.052,0.012,0.032,0.005,0.015,0.165,0.0,0.0,0.0,0.0,0.0
2970,0,23,3,3,0,0,0,14,0,0,2,12,0.32669392,0.56507546,0.10823059,1.75,0,3014,670,36,144,0,221,466,26,0,110,173,3.746,3.746,2.191,2.191,2.359,0.258,0.0,0.792,0.119,0.158,0.031,0.001,0.0,0.061,0.0,0.0,0.03,0.015,0.054,0.022,0.027,0.007,0.009,0.088,0.0,0.001,0.0,0.001,0.0
2589,0,4,33,8,0,1,1,27,0,0,8,5,0.42786667,0.5153893,0.056744024,2.1666666666666665,0,2991,732,59,202,0,103,536,25,0,123,190,3.463,3.463,2.191,2.191,2.384,0.26,0.0,0.796,0.15,0.064,0.03,0.0,0.0,0.042,0.0,0.0,0.018,0.033,0.008,0.075,0.02,0.011,0.003,0.104,0.0,0.001,0.0,0.005,0.0
1977,0,0,9,0,0,0,2,18,0,0,6,0,0.27865726,0.5603219,0.16102079,20.0,2,3089,711,46,155,0,91,505,26,0,87,196,3.648,3.648,2.364,2.364,2.435,0.276,0.0,0.804,0.152,0.041,0.046,0.004,0.003,0.045,0.001,0.0,0.037,0.02,0.0,0.08,0.028,0.01,0.01,0.114,0.0,0.001,0.0,0.001,0.003
2347,0,1,14,1,0,0,4,13,0,0,7,4,0.25640786,0.607601,0.13599114,0.8888888888888888,2,3091,736,55,166,0,102,545,26,1,102,192,3.501,3.501,2.258,2.258,2.359,0.261,0.0,0.796,0.156,0.061,0.067,0.0,0.001,0.042,0.0,0.0,0.027,0.007,0.008,0.073,0.014,0.011,0.01,0.126,0.0,0.003,0.0,0.001,0.0
2769,0,22,4,1,0,1,2,20,0,0,5,17,0.40928888,0.48041996,0.11029116,4.0,1,3073,717,31,174,5,203,538,26,1,133,157,3.584,3.584,2.22,2.22,2.439,0.219,0.0,0.769,0.127,0.127,0.028,0.007,0.001,0.052,0.004,0.0,0.028,0.021,0.054,0.031,0.004,0.006,0.015,0.074,0.0,0.008,0.0,0.014,0.006
2091,0,0,24,1,0,0,3,27,0,0,7,14,0.551899,0.3951699,0.052931063,3.3333333333333335,1,3091,810,65,219,0,94,635,27,0,147,181,3.235,3.235,2.041,2.041,2.727,0.223,0.0,0.776,0.114,0.051,0.032,0.0,0.0,0.048,0.0,0.001,0.037,0.022,0.025,0.065,0.022,0.006,0.01,0.126,0.0,0.0,0.0,0.004,0.0
584,0,0,12,0,0,0,0,13,0,0,4,2,0.28673968,0.57559466,0.13766567,7.0,1,3070,740,48,207,0,93,555,27,1,128,194,3.468,3.468,2.151,2.151,2.606,0.262,0.0,0.797,0.126,0.059,0.024,0.003,0.0,0.058,0.0,0.0,0.036,0.023,0.005,0.07,0.023,0.016,0.012,0.141,0.0,0.0,0.0,0.003,0.0
2238,0,0,10,0,0,1,0,11,0,0,0,0,0.13225569,0.61375356,0.25399077,0.08,0,3085,719,40,119,0,71,536,25,0,83,172,3.547,3.547,2.052,2.052,2.541,0.239,0.0,0.783,0.168,0.063,0.04,0.001,0.006,0.031,0.001,0.0,0.047,0.003,0.006,0.076,0.024,0.015,0.011,0.093,0.0,0.001,0.0,0.008,0.0
687,0,2,1,0,0,3,0,19,0,0,3,13,0.08915631,0.57018816,0.34065557,0.375,0,3091,726,31,155,0,118,521,27,0,124,174,3.555,3.555,2.103,2.103,2.574,0.24,0.0,0.783,0.136,0.095,0.039,0.006,0.001,0.056,0.001,0.0,0.037,0.028,0.059,0.023,0.007,0.006,0.004,0.105,0.0,0.004,0.0,0.006,0.003
3514,0,1,19,2,0,0,0,19,0,0,7,0,0.31819063,0.5127436,0.16906583,0.6153846153846154,1,3099,702,43,148,0,57,488,27,0,80,219,3.709,3.709,2.336,2.336,2.222,0.312,0.0,0.822,0.167,0.031,0.057,0.004,0.003,0.048,0.001,0.0,0.024,0.009,0.007,0.074,0.024,0.016,0.001,0.09,0.0,0.001,0.0,0.006,0.003
3501,0,0,17,3,0,0,0,13,0,0,4,7,0.222219,0.5745907,0.20319031,0.75,0,3031,678,48,137,2,83,469,27,0,89,206,3.77,3.77,2.4,2.4,2.173,0.304,0.0,0.817,0.162,0.069,0.052,0.0,0.0,0.059,0.0,0.0,0.028,0.013,0.009,0.065,0.022,0.012,0.007,0.084,0.0,0.0,0.0,0.004,0.0
1791,0,41,1,1,0,0,4,9,0,0,3,12,0.40458292,0.4681724,0.12724465,1.0,2,3019,655,30,156,0,302,477,26,0,133,198,3.889,3.889,2.76,2.76,2.134,0.302,0.0,0.816,0.136,0.144,0.05,0.0,0.0,0.053,0.0,0.003,0.026,0.026,0.061,0.014,0.014,0.003,0.006,0.072,0.0,0.003,0.0,0.0,0.0
1608,0,0,17,5,0,0,0,11,0,0,7,1,0.36913455,0.53776556,0.09309985,1.5,3,3097,694,56,137,0,64,503,25,0,64,205,3.713,3.713,2.229,2.229,2.246,0.295,0.0,0.814,0.13,0.03,0.053,0.001,0.001,0.062,0.001,0.0,0.035,0.01,0.004,0.098,0.02,0.029,0.006,0.122,0.0,0.0,0.0,0.004,0.0
2566,0,8,28,2,0,0,0,32,0,0,17,18,0.5066884,0.4306079,0.06270366,3.0,3,3096,794,65,203,2,133,612,26,2,169,148,3.317,3.317,1.988,1.988,2.826,0.186,0.0,0.748,0.097,0.071,0.026,0.001,0.003,0.052,0.001,0.0,0.033,0.028,0.028,0.052,0.018,0.01,0.004,0.117,0.0,0.0,0.0,0.005,0.0
2654,0,0,0,0,0,0,0,1,0,0,3,0,0.22931263,0.53076494,0.23992248,8.0,6,3092,745,50,101,0,101,581,25,0,81,161,3.29,3.29,1.986,1.986,2.633,0.216,0.0,0.768,0.117,0.019,0.026,0.001,0.001,0.085,0.001,0.0,0.05,0.032,0.027,0.064,0.012,0.013,0.012,0.15,0.0,0.0,0.0,0.008,0.0
1009,0,30,1,0,0,0,1,21,0,0,8,15,0.34495053,0.56406254,0.090986945,0.75,2,3090,752,39,186,4,240,600,27,1,144,193,3.44,3.44,1.952,1.952,2.372,0.257,0.0,0.795,0.1,0.141,0.028,0.001,0.0,0.074,0.0,0.0,0.029,0.02,0.059,0.032,0.008,0.008,0.005,0.076,0.0,0.007,0.0,0.007,0.003
3075,0,2,17,2,0,0,0,16,0,0,3,2,0.069186315,0.618946,0.31186765,1.8888888888888888,0,3080,745,48,164,0,94,573,25,1,102,190,3.417,3.417,1.962,1.962,2.483,0.255,0.0,0.793,0.121,0.04,0.035,0.003,0.0,0.056,0.003,0.0,0.028,0.016,0.012,0.078,0.021,0.012,0.005,0.14,0.0,0.005,0.0,0.003,0.0
2213,0,0,13,3,1,0,1,13,1,0,4,1,0.28885397,0.5351098,0.17603622,5.0,2,3095,686,54,151,23,70,472,27,0,65,243,3.776,3.776,2.41,2.41,2.0,0.354,0.0,0.841,0.207,0.054,0.058,0.006,0.001,0.028,0.0,0.0,0.017,0.009,0.009,0.071,0.017,0.016,0.001,0.05,0.0,0.0,0.0,0.026,0.0
360,0,0,6,0,0,0,2,10,0,0,5,5,0.3580075,0.53801244,0.10398014,2.0,5,3009,702,41,139,0,96,510,27,0,107,193,3.561,3.561,2.301,2.301,2.356,0.275,0.0,0.803,0.142,0.056,0.036,0.001,0.003,0.051,0.0,0.001,0.026,0.016,0.013,0.075,0.021,0.011,0.009,0.12,0.0,0.001,0.0,0.007,0.0
3259,0,0,9,0,0,0,0,14,0,0,5,4,0.5524572,0.4055589,0.041983817,1.4,0,3074,705,32,119,4,104,530,25,1,99,138,3.562,3.562,1.998,1.998,2.67,0.196,0.0,0.751,0.132,0.082,0.035,0.0,0.0,0.045,0.0,0.0,0.033,0.024,0.013,0.081,0.028,0.006,0.007,0.138,0.0,0.001,0.0,0.003,0.0
3494,0,25,29,2,0,0,2,28,0,0,8,12,0.26499188,0.55879635,0.17621173,1.0,1,3090,745,76,211,2,245,547,26,1,136,233,3.518,3.518,2.281,2.281,2.231,0.313,0.0,0.824,0.149,0.09,0.04,0.007,0.001,0.035,0.003,0.0,0.013,0.007,0.007,0.089,0.016,0.004,0.004,0.089,0.0,0.0,0.0,0.011,0.003
3527,0,0,14,3,0,0,0,14,0,0,12,0,0.4249997,0.5184111,0.056589197,0.3,2,3045,706,48,153,0,58,533,26,0,81,212,3.593,3.593,2.149,2.149,2.213,0.3,0.0,0.817,0.146,0.017,0.054,0.003,0.003,0.055,0.0,0.0,0.033,0.021,0.01,0.081,0.014,0.014,0.007,0.127,0.0,0.0,0.0,0.007,0.0
1677,0,0,18,0,0,0,0,21,0,0,1,2,0.19450222,0.60606396,0.19943383,4.5,1,3011,675,50,144,0,98,487,27,0,89,203,3.766,3.766,2.428,2.428,2.206,0.301,0.0,0.816,0.141,0.081,0.04,0.001,0.007,0.049,0.003,0.0,0.031,0.01,0.009,0.076,0.03,0.024,0.01,0.067,0.0,0.0,0.0,0.003,0.0
1310,0,2,4,1,0,0,5,2,3,2,0,0,0.3527144,0.4605432,0.18674244,1.0,2,2953,714,33,137,0,77,542,27,0,119,185,3.394,3.394,2.167,2.167,2.356,0.259,0.0,0.794,0.13,0.028,0.038,0.0,0.001,0.08,0.001,0.001,0.045,0.025,0.011,0.034,0.028,0.015,0.011,0.126,0.0,0.001,0.0,0.007,0.014
1966,0,7,6,0,0,0,0,7,0,0,2,0,0.40776497,0.5268488,0.06538619,0.21428571428571427,0,2991,650,32,85,0,85,470,25,0,71,173,3.788,3.788,2.053,2.053,2.338,0.266,0.0,0.796,0.143,0.057,0.031,0.009,0.0,0.048,0.005,0.0,0.034,0.009,0.008,0.091,0.045,0.015,0.006,0.132,0.0,0.0,0.0,0.005,0.0
1830,0,0,12,2,0,2,3,14,2,1,5,5,0.22984357,0.59079134,0.17936508,0.5,1,3048,660,49,127,8,80,439,27,0,61,223,3.871,3.871,2.477,2.477,2.089,0.338,0.0,0.833,0.139,0.047,0.05,0.002,0.0,0.059,0.002,0.0,0.039,0.017,0.003,0.076,0.032,0.014,0.003,0.127,0.0,0.0,0.0,0.009,0.011
2414,0,0,16,2,0,0,0,14,0,0,6,0,0.12307158,0.450471,0.42645746,0.13636363636363635,1,3014,700,57,140,0,84,505,27,0,115,190,3.557,3.557,2.382,2.382,2.465,0.271,0.0,0.801,0.131,0.027,0.04,0.001,0.003,0.044,0.0,0.0,0.021,0.023,0.003,0.104,0.009,0.019,0.006,0.167,0.0,0.0,0.0,0.013,0.0
3493,0,1,2,0,0,0,1,6,0,0,3,5,0.263314,0.535621,0.20106499,0.5714285714285714,1,3054,683,47,142,2,106,487,27,0,81,238,3.691,3.691,2.72,2.72,2.121,0.348,0.0,0.838,0.148,0.053,0.059,0.001,0.001,0.034,0.0,0.0,0.032,0.009,0.003,0.076,0.02,0.016,0.007,0.13,0.0,0.0,0.0,0.004,0.003
344,0,7,10,1,0,0,23,2,0,0,5,1,0.3621925,0.47208634,0.1657211,2.0,1,3027,735,47,183,0,106,553,27,0,112,197,3.39,3.39,2.345,2.345,2.363,0.268,0.0,0.801,0.161,0.037,0.052,0.003,0.0,0.059,0.0,0.0,0.039,0.015,0.005,0.059,0.026,0.02,0.011,0.114,0.0,0.001,0.0,0.003,0.0
986,0,2,28,0,0,0,1,29,0,0,21,7,0.4859344,0.45954514,0.0545205,4.0,0,3082,766,72,235,0,110,573,25,2,147,184,3.444,3.444,2.316,2.316,2.52,0.24,0.0,0.785,0.123,0.056,0.031,0.004,0.003,0.051,0.0,0.0,0.044,0.017,0.005,0.069,0.022,0.009,0.009,0.095,0.0,0.008,0.003,0.0,0.003
2424,0,1,21,3,0,0,1,19,0,0,3,11,0.07015477,0.44241935,0.48742592,0.26666666666666666,2,2936,674,59,157,0,80,480,27,0,66,216,3.65,3.65,2.227,2.227,2.146,0.32,0.0,0.825,0.153,0.05,0.042,0.004,0.003,0.056,0.0,0.0,0.021,0.013,0.006,0.082,0.013,0.015,0.004,0.086,0.0,0.003,0.0,0.0,0.003
743,0,0,21,6,0,0,4,14,0,0,6,6,0.44656116,0.473308,0.08013086,0.8333333333333334,2,3084,718,62,153,0,72,511,26,2,85,178,3.596,3.596,2.216,2.216,2.434,0.248,0.0,0.788,0.148,0.04,0.029,0.001,0.0,0.057,0.001,0.0,0.032,0.01,0.013,0.081,0.019,0.014,0.008,0.092,0.0,0.0,0.0,0.003,0.0
2892,0,0,18,2,0,0,1,17,0,0,2,1,0.34503528,0.59324807,0.061716694,0.5,1,3093,730,56,170,0,90,518,27,0,88,206,3.568,3.568,2.238,2.238,2.317,0.282,0.0,0.808,0.171,0.056,0.038,0.003,0.003,0.053,0.001,0.0,0.032,0.012,0.008,0.078,0.012,0.015,0.008,0.078,0.0,0.0,0.0,0.003,0.003
1671,0,0,9,0,0,0,0,9,0,0,1,2,0.18920487,0.65197307,0.15882201,1.2857142857142858,0,3027,677,37,136,0,72,462,26,0,74,220,3.743,3.743,2.409,2.409,2.184,0.325,0.0,0.828,0.17,0.04,0.058,0.003,0.0,0.047,0.0,0.0,0.028,0.012,0.003,0.069,0.021,0.013,0.01,0.092,0.0,0.0,0.0,0.004,0.003
2346,0,3,18,1,0,0,0,16,0,0,4,0,0.15042582,0.50502735,0.34454685,1.0,3,3076,713,58,172,0,87,521,27,2,104,222,3.64,3.64,2.35,2.35,2.315,0.311,0.0,0.822,0.147,0.052,0.053,0.001,0.0,0.042,0.001,0.0,0.025,0.014,0.02,0.076,0.02,0.008,0.007,0.126,0.0,0.0,0.0,0.003,0.0
1859,0,0,13,1,0,0,0,11,0,0,7,2,0.37005696,0.56999665,0.05994643,0.75,5,3082,660,45,139,0,96,455,26,1,81,189,3.921,3.921,2.418,2.418,2.23,0.286,0.0,0.807,0.144,0.056,0.048,0.008,0.0,0.065,0.003,0.0,0.033,0.015,0.009,0.064,0.03,0.017,0.012,0.094,0.0,0.0,0.0,0.006,0.0
113,0,2,1,1,0,1,1,1,0,0,1,0,0.2932644,0.5808562,0.12587944,34.0,4,3049,635,16,80,4,74,440,27,0,40,152,3.964,3.964,2.297,2.297,2.679,0.239,0.0,0.778,0.137,0.101,0.035,0.0,0.002,0.063,0.002,0.002,0.027,0.005,0.006,0.113,0.016,0.016,0.006,0.117,0.0,0.0,0.0,0.009,0.0
1437,0,5,19,0,0,0,1,19,0,0,0,0,0.2901037,0.5741743,0.135722,0.8888888888888888,3,3042,722,29,129,1,100,534,25,0,117,179,3.5,3.5,1.907,1.907,2.498,0.248,0.0,0.788,0.125,0.071,0.03,0.001,0.0,0.035,0.0,0.0,0.037,0.029,0.008,0.086,0.026,0.007,0.012,0.147,0.0,0.001,0.0,0.003,0.0
2196,0,0,13,0,0,0,0,17,0,0,10,0,0.44612113,0.48098317,0.07289572,0.23076923076923078,1,2972,692,26,111,3,78,508,27,0,98,161,3.565,3.565,1.961,1.961,2.544,0.233,0.0,0.777,0.124,0.081,0.033,0.003,0.001,0.059,0.001,0.0,0.042,0.02,0.013,0.091,0.02,0.009,0.007,0.113,0.0,0.0,0.0,0.004,0.0
1241,0,0,9,0,0,0,2,11,1,1,1,9,0.42960653,0.50679076,0.06360272,0.6666666666666666,2,3055,655,45,134,4,80,448,27,0,63,206,3.913,3.913,2.63,2.63,2.213,0.315,0.0,0.822,0.147,0.063,0.055,0.003,0.003,0.06,0.002,0.0,0.027,0.006,0.005,0.098,0.024,0.005,0.005,0.131,0.0,0.0,0.0,0.003,0.003
1142,0,3,3,0,0,0,0,3,0,0,1,3,0.54255575,0.39720055,0.06024368,1.8,2,3077,658,39,128,0,78,461,26,0,59,215,3.894,3.894,2.223,2.223,2.096,0.327,0.0,0.828,0.188,0.038,0.058,0.002,0.002,0.05,0.003,0.0,0.023,0.006,0.006,0.076,0.014,0.018,0.008,0.093,0.0,0.003,0.0,0.005,0.0
2310,0,0,25,3,0,0,1,29,0,0,11,3,0.28248945,0.57747185,0.14003871,2.142857142857143,0,3072,730,65,188,4,89,518,27,0,105,193,3.555,3.555,2.184,2.184,2.425,0.264,0.0,0.798,0.133,0.041,0.034,0.001,0.001,0.055,0.0,0.0,0.042,0.021,0.011,0.064,0.029,0.005,0.016,0.115,0.0,0.0,0.0,0.003,0.0
1216,0,5,32,3,0,0,2,37,0,0,12,6,0.17652361,0.5019914,0.321485,4.666666666666667,4,3089,786,65,236,2,122,589,26,2,150,200,3.38,3.38,2.21,2.21,2.487,0.254,0.0,0.795,0.156,0.06,0.048,0.003,0.0,0.034,0.001,0.0,0.036,0.017,0.01,0.06,0.014,0.005,0.01,0.07,0.0,0.003,0.0,0.005,0.0
1198,0,0,33,5,0,0,0,35,0,0,9,16,0.37074712,0.49372214,0.13553068,0.4444444444444444,0,3097,793,74,241,33,107,611,27,0,159,193,3.328,3.328,2.215,2.215,2.558,0.243,0.0,0.788,0.129,0.067,0.04,0.0,0.0,0.034,0.0,0.0,0.034,0.013,0.015,0.058,0.02,0.015,0.015,0.103,0.0,0.004,0.0,0.013,0.0
85,0,0,0,0,0,0,0,0,0,0,3,1,0.40423238,0.49362558,0.10214199,0.25,1,3028,679,25,90,0,60,501,26,0,94,172,3.632,3.632,2.191,2.191,2.399,0.253,0.0,0.789,0.13,0.001,0.035,0.004,0.004,0.077,0.001,0.0,0.054,0.021,0.01,0.084,0.018,0.012,0.006,0.14,0.0,0.001,0.0,0.003,0.0
1518,0,0,17,4,0,0,1,18,0,0,5,4,0.35855386,0.5244677,0.116978444,1.6363636363636365,1,2999,752,45,204,0,81,576,26,0,131,179,3.336,3.336,1.972,1.972,2.507,0.238,0.0,0.783,0.134,0.035,0.043,0.0,0.001,0.052,0.0,0.0,0.025,0.012,0.003,0.084,0.009,0.016,0.009,0.12,0.0,0.007,0.0,0.003,0.0
2624,0,1,30,3,0,0,1,30,0,0,13,8,0.36157525,0.48672664,0.15169813,0.5,0,3053,764,71,236,0,110,570,26,0,158,157,3.416,3.416,2.181,2.181,2.809,0.205,0.0,0.762,0.143,0.073,0.035,0.0,0.003,0.06,0.0,0.0,0.042,0.031,0.018,0.058,0.012,0.004,0.008,0.113,0.0,0.005,0.0,0.001,0.0
1381,0,1,20,0,0,0,0,20,0,0,0,0,0.20314752,0.5582467,0.23860581,1.6666666666666667,5,3086,724,33,122,1,81,540,25,0,93,167,3.515,3.515,1.859,1.859,2.54,0.231,0.0,0.777,0.127,0.057,0.035,0.001,0.0,0.032,0.001,0.0,0.033,0.025,0.006,0.088,0.032,0.008,0.008,0.137,0.0,0.003,0.0,0.012,0.0
1948,0,0,27,2,0,0,0,24,0,0,11,4,0.37649012,0.5511388,0.07237103,1.0769230769230769,0,3093,734,60,168,0,91,546,25,1,111,181,3.548,3.548,2.231,2.231,2.557,0.247,0.0,0.788,0.116,0.059,0.02,0.0,0.0,0.053,0.0,0.0,0.041,0.027,0.012,0.086,0.012,0.016,0.01,0.125,0.0,0.0,0.0,0.0,0.0
668,0,126,1,1,0,0,1,17,0,0,1,21,0.54162395,0.3880851,0.070291005,11.0,1,3031,736,34,189,0,610,595,27,2,244,170,3.406,3.406,1.906,1.906,2.322,0.231,0.0,0.778,0.095,0.193,0.026,0.0,0.0,0.064,0.0,0.0,0.034,0.031,0.056,0.018,0.005,0.001,0.015,0.095,0.0,0.003,0.0,0.003,0.003
128,0,0,13,5,0,1,0,8,0,0,0,13,0.70650965,0.25853223,0.034958187,0.14285714285714285,3,2877,635,36,116,0,57,440,27,2,53,204,3.762,3.762,2.266,2.266,2.182,0.321,0.0,0.824,0.154,0.038,0.049,0.008,0.002,0.061,0.003,0.0,0.043,0.017,0.0,0.058,0.025,0.016,0.008,0.096,0.0,0.0,0.002,0.006,0.0
1364,0,0,15,1,0,0,0,21,0,0,3,4,0.33770296,0.5174414,0.14485562,0.4,3,3032,696,51,180,3,83,490,26,0,108,221,3.687,3.687,2.403,2.403,2.238,0.318,0.0,0.825,0.152,0.046,0.052,0.003,0.001,0.039,0.0,0.0,0.032,0.007,0.007,0.083,0.023,0.007,0.004,0.118,0.0,0.0,0.001,0.009,0.0
3021,0,1,20,0,0,0,3,24,0,0,7,7,0.15592153,0.5535071,0.2905714,2.3333333333333335,0,2966,712,56,231,1,102,532,27,1,129,208,3.569,3.569,2.402,2.402,2.268,0.292,0.0,0.813,0.152,0.08,0.048,0.003,0.0,0.045,0.001,0.0,0.024,0.013,0.017,0.055,0.024,0.006,0.006,0.083,0.0,0.001,0.0,0.003,0.0
1876,0,2,7,0,0,0,0,9,0,0,0,0,0.16768365,0.5491311,0.2831853,11.0,1,2919,652,16,113,0,73,475,27,0,79,152,3.704,3.704,2.133,2.133,2.608,0.233,0.0,0.775,0.13,0.08,0.049,0.0,0.002,0.044,0.002,0.0,0.029,0.021,0.002,0.1,0.02,0.021,0.006,0.115,0.0,0.002,0.0,0.0,0.0
891,0,0,8,2,0,0,0,13,0,0,1,9,0.17816724,0.5804844,0.24134839,0.375,0,3049,676,38,145,0,73,462,27,1,56,240,3.762,3.762,2.286,2.286,2.055,0.355,0.0,0.841,0.164,0.058,0.049,0.004,0.001,0.04,0.001,0.0,0.022,0.004,0.009,0.081,0.025,0.025,0.003,0.087,0.0,0.001,0.0,0.0,0.003
2462,0,0,0,0,0,0,3,2,0,0,0,0,0.2470758,0.5778393,0.17508492,0.8181818181818182,7,3091,653,26,84,0,84,443,27,1,45,215,3.913,3.913,2.28,2.28,2.06,0.329,0.0,0.829,0.164,0.08,0.057,0.0,0.002,0.037,0.0,0.0,0.051,0.006,0.0,0.084,0.017,0.026,0.014,0.07,0.0,0.0,0.0,0.003,0.009
1359,0,3,12,1,0,0,0,10,0,0,3,7,0.2120191,0.5330986,0.25488234,1.6,0,3064,681,49,130,0,88,469,26,0,75,226,3.759,3.759,2.271,2.271,2.021,0.332,0.0,0.831,0.162,0.054,0.063,0.001,0.003,0.048,0.001,0.0,0.023,0.007,0.004,0.082,0.022,0.016,0.004,0.107,0.0,0.001,0.0,0.004,0.006
307,0,0,12,0,0,0,8,6,0,0,6,4,0.59575605,0.35585085,0.048393168,0.36363636363636365,0,3088,679,52,118,0,71,476,26,0,56,177,3.776,3.776,2.329,2.329,2.317,0.261,0.0,0.794,0.137,0.035,0.052,0.001,0.0,0.072,0.003,0.003,0.062,0.029,0.013,0.052,0.029,0.004,0.021,0.119,0.0,0.003,0.0,0.001,0.0
3563,0,0,15,0,0,1,1,20,0,0,8,0,0.40868896,0.5116599,0.07965108,0.8666666666666667,1,2997,701,51,143,2,68,502,26,0,99,178,3.596,3.596,2.234,2.234,2.426,0.254,0.0,0.791,0.147,0.029,0.049,0.004,0.004,0.049,0.001,0.0,0.041,0.016,0.006,0.067,0.023,0.007,0.019,0.121,0.0,0.0,0.0,0.001,0.0
383,0,1,15,2,0,0,0,13,0,0,6,8,0.37458748,0.47551066,0.14990184,0.5625,0,3087,737,63,164,0,120,548,26,0,112,218,3.483,3.483,1.974,1.974,2.155,0.296,0.0,0.816,0.141,0.083,0.047,0.001,0.0,0.034,0.001,0.0,0.034,0.018,0.015,0.068,0.015,0.011,0.012,0.113,0.0,0.004,0.0,0.003,0.0
150,0,0,13,0,0,0,0,20,0,0,1,0,0.038394555,0.3523121,0.60929334,0.42105263157894735,2,3033,715,42,127,0,81,544,25,0,104,162,3.523,3.523,1.958,1.958,2.658,0.227,0.0,0.774,0.131,0.06,0.021,0.0,0.003,0.053,0.0,0.0,0.02,0.018,0.003,0.11,0.022,0.01,0.006,0.123,0.0,0.0,0.0,0.006,0.0
1317,0,1,11,0,0,0,3,10,0,0,0,0,0.26470238,0.6260465,0.10925117,0.12,3,3069,723,33,89,2,79,567,26,0,70,150,3.436,3.436,1.713,1.713,2.698,0.207,0.0,0.761,0.145,0.048,0.028,0.001,0.0,0.039,0.0,0.0,0.033,0.021,0.006,0.098,0.019,0.011,0.007,0.133,0.0,0.001,0.0,0.006,0.0
1451,0,1,13,0,0,1,0,15,0,0,2,2,0.29108953,0.6021945,0.10671601,0.8333333333333334,0,3071,734,44,138,0,83,559,26,0,96,156,3.473,3.473,1.977,1.977,2.679,0.213,0.0,0.765,0.127,0.052,0.02,0.0,0.003,0.048,0.003,0.0,0.046,0.023,0.008,0.08,0.023,0.01,0.011,0.165,0.0,0.003,0.0,0.0,0.003
1847,0,0,11,0,0,0,0,12,0,0,3,0,0.36412492,0.5535618,0.08231335,0.2857142857142857,1,3088,661,39,116,0,64,464,28,0,71,178,3.887,3.887,2.631,2.631,2.327,0.269,0.0,0.798,0.141,0.026,0.048,0.006,0.003,0.062,0.002,0.0,0.027,0.017,0.032,0.047,0.024,0.018,0.009,0.1,0.0,0.002,0.0,0.003,0.0
2494,0,0,14,0,0,0,0,14,0,0,1,2,0.16894193,0.557542,0.27351606,0.1875,1,3062,679,39,139,0,71,479,27,0,76,204,3.785,3.785,2.473,2.473,2.263,0.3,0.0,0.816,0.158,0.054,0.054,0.003,0.004,0.04,0.0,0.0,0.031,0.007,0.003,0.069,0.028,0.021,0.013,0.103,0.0,0.001,0.001,0.003,0.0
